,nome,sobrenome,nome_completo,ano,nivel_ensino,idade,cpf,id,turma
0,Brooke,Henderson,Brooke Henderson,sexto,ef,11,72776291812,1,2
1,Antony,Moore,Antony Moore,oitavo,ef,13,39240869368,2,4
2,Arianna,Gibson,Arianna Gibson,sexto,ef,11,90571071176,3,3
3,Isabella,Payne,Isabella Payne,terceiro_em,em,17,24025045354,4,1
4,Roland,Grant,Roland Grant,nono,ef,14,89575771952,5,1
5,Miranda,Spencer,Miranda Spencer,oitavo,ef,13,22475494606,6,2
6,Ted,Murphy,Ted Murphy,sexto,ef,11,39854255508,7,1
7,Nicole,Brown,Nicole Brown,terceiro_em,em,17,99679758118,8,1
8,Edward,Henderson,Edward Henderson,terceiro_em,em,17,40767509316,9,2
9,Lydia,Richards,Lydia Richards,sexto,ef,11,12797506522,10,1
10,Elise,Perry,Elise Perry,nono,ef,14,2095223966,11,4
11,Alina,Farrell,Alina Farrell,primeiro_em,em,15,49926852620,12,4
12,Haris,Bailey,Haris Bailey,primeiro_em,em,15,25302652078,13,2
13,Abraham,Johnston,Abraham Johnston,oitavo,ef,13,87903354992,14,2
14,Fenton,Bennett,Fenton Bennett,oitavo,ef,13,87734922670,15,2
15,Aston,Roberts,Aston Roberts,terceiro_em,em,17,58032589676,16,1
16,Alexia,Hill,Alexia Hill,sexto,ef,11,39527702856,17,1
17,Julian,Martin,Julian Martin,setimo,ef,12,98529502638,18,4
18,Isabella,Moore,Isabella Moore,setimo,ef,12,7150114166,19,1
19,Darcy,Morris,Darcy Morris,oitavo,ef,13,21718047650,20,2
20,Adam,Owens,Adam Owens,primeiro_em,em,15,84531996022,21,4
21,Kellan,Johnston,Kellan Johnston,oitavo,ef,13,83022953168,22,4
22,Sarah,Russell,Sarah Russell,segundo_em,em,16,53413092658,23,1
23,Sydney,Higgins,Sydney Higgins,setimo,ef,12,94651970862,24,3
24,Maddie,Henderson,Maddie Henderson,setimo,ef,12,78992095238,25,1
25,Vivian,Cole,Vivian Cole,sexto,ef,11,86377600124,26,3
26,Lyndon,Fowler,Lyndon Fowler,nono,ef,14,70829774234,27,4
27,William,Phillips,William Phillips,terceiro_em,em,17,31986109148,28,4
28,Luke,Stewart,Luke Stewart,sexto,ef,11,51768429808,29,3
29,Deanna,Clark,Deanna Clark,primeiro_em,em,15,53556053510,30,3
30,Thomas,Harper,Thomas Harper,nono,ef,14,80211267568,31,4
31,Roman,Anderson,Roman Anderson,sexto,ef,11,53843364566,32,4
32,James,Walker,James Walker,sexto,ef,11,47561111658,33,1
33,Luke,Miller,Luke Miller,oitavo,ef,13,49952703704,34,2
34,Dainton,Martin,Dainton Martin,segundo_em,em,16,91709627590,35,1
35,Sawyer,Kelley,Sawyer Kelley,nono,ef,14,20700373540,36,3
36,Julian,Murphy,Julian Murphy,sexto,ef,11,83168497904,37,2
37,Kevin,Edwards,Kevin Edwards,sexto,ef,11,3106679016,38,3
38,Amy,Perkins,Amy Perkins,sexto,ef,11,77947281842,39,2
39,Ryan,Fowler,Ryan Fowler,segundo_em,em,16,47470058012,40,1
40,Lucia,Parker,Lucia Parker,setimo,ef,12,15027124330,41,4
41,Paige,Chapman,Paige Chapman,setimo,ef,12,20484996458,42,4
42,Amanda,Elliott,Amanda Elliott,terceiro_em,em,17,47116527050,43,2
43,Emma,Cooper,Emma Cooper,sexto,ef,11,24089350536,44,4
44,Sarah,Lloyd,Sarah Lloyd,oitavo,ef,13,4272820916,45,1
45,Camila,Bennett,Camila Bennett,nono,ef,14,43122853824,46,2
46,Maya,Wright,Maya Wright,primeiro_em,em,15,4224699046,47,2
47,Penelope,Smith,Penelope Smith,nono,ef,14,46380011950,48,3
48,Alexander,Davis,Alexander Davis,oitavo,ef,13,62591642776,49,4
49,Eleanor,Robinson,Eleanor Robinson,nono,ef,14,48637734954,50,1
50,Sabrina,Ellis,Sabrina Ellis,terceiro_em,em,17,19914238758,51,4
51,Arnold,Mitchell,Arnold Mitchell,sexto,ef,11,74611777392,52,2
52,Arianna,Thompson,Arianna Thompson,terceiro_em,em,17,85797733746,53,1
53,Paul,Tucker,Paul Tucker,oitavo,ef,13,960417810,54,1
54,Violet,Adams,Violet Adams,oitavo,ef,13,30178905660,55,3
55,April,Fowler,April Fowler,primeiro_em,em,15,56324640928,56,1
56,Valeria,Carroll,Valeria Carroll,terceiro_em,em,17,67997803060,57,3
57,Ryan,Farrell,Ryan Farrell,nono,ef,14,29627402506,58,3
58,Arnold,Baker,Arnold Baker,setimo,ef,12,93497981030,59,2
59,Oliver,Turner,Oliver Turner,terceiro_em,em,17,73104777150,60,3
60,Eric,Thomas,Eric Thomas,primeiro_em,em,15,17896092694,61,1
61,Tiana,Casey,Tiana Casey,segundo_em,em,16,85300717860,62,1
62,Dainton,Davis,Dainton Davis,primeiro_em,em,15,53614737946,63,2
63,Marcus,Armstrong,Marcus Armstrong,primeiro_em,em,15,197267996,64,1
64,Kristian,Mason,Kristian Mason,terceiro_em,em,17,28878374460,65,4
65,Fenton,Ross,Fenton Ross,oitavo,ef,13,25570377994,66,2
66,Lily,Reed,Lily Reed,sexto,ef,11,49409135350,67,1
67,Maddie,Gibson,Maddie Gibson,nono,ef,14,54225637198,68,4
68,Jack,Harrison,Jack Harrison,terceiro_em,em,17,43859165914,69,3
69,Rosie,Davis,Rosie Davis,segundo_em,em,16,24675727122,70,4
70,Valeria,Martin,Valeria Martin,primeiro_em,em,15,63345344962,71,3
71,Andrew,Russell,Andrew Russell,nono,ef,14,88592973780,72,2
72,Lily,West,Lily West,segundo_em,em,16,55050632928,73,4
73,Spike,Nelson,Spike Nelson,primeiro_em,em,15,20776820768,74,2
74,Charlotte,Spencer,Charlotte Spencer,segundo_em,em,16,12141583258,75,4
75,Michelle,Brooks,Michelle Brooks,terceiro_em,em,17,67508071624,76,3
76,Lenny,Parker,Lenny Parker,segundo_em,em,16,55885829262,77,1
77,Anna,Ross,Anna Ross,primeiro_em,em,15,30574563474,78,4
78,Madaline,Allen,Madaline Allen,terceiro_em,em,17,35938548882,79,2
79,Amy,Stewart,Amy Stewart,nono,ef,14,36164301722,80,4
80,Nicholas,Taylor,Nicholas Taylor,primeiro_em,em,15,46446187910,81,1
81,Eric,Farrell,Eric Farrell,segundo_em,em,16,5815446998,82,4
82,Edwin,Hawkins,Edwin Hawkins,nono,ef,14,29898044814,83,4
83,Eric,Tucker,Eric Tucker,oitavo,ef,13,13819751686,84,1
84,Amber,Tucker,Amber Tucker,primeiro_em,em,15,39511471992,85,3
85,Antony,Cameron,Antony Cameron,sexto,ef,11,43633068660,86,3
86,Wilson,Mason,Wilson Mason,terceiro_em,em,17,41381700994,87,2
87,Jordan,Grant,Jordan Grant,terceiro_em,em,17,72463431744,88,1
88,Connie,Parker,Connie Parker,segundo_em,em,16,53155777016,89,2
89,Alisa,Adams,Alisa Adams,setimo,ef,12,13436914814,90,1
90,Valeria,Thomas,Valeria Thomas,segundo_em,em,16,43948582566,91,1
91,Naomi,Anderson,Naomi Anderson,terceiro_em,em,17,11113084610,92,3
92,Henry,Howard,Henry Howard,sexto,ef,11,84372626110,93,2
93,Madaline,Hawkins,Madaline Hawkins,nono,ef,14,86901440888,94,3
94,Preston,Barrett,Preston Barrett,segundo_em,em,16,96706017122,95,1
95,Mary,Wells,Mary Wells,oitavo,ef,13,19561047226,96,2
96,Connie,West,Connie West,setimo,ef,12,6237425426,97,4
97,April,Ross,April Ross,oitavo,ef,13,92154335422,98,3
98,Samantha,Thompson,Samantha Thompson,oitavo,ef,13,7674930460,99,4
99,Elise,Fowler,Elise Fowler,primeiro_em,em,15,70962218588,100,1
100,Emily,Stevens,Emily Stevens,nono,ef,14,70684651298,101,4
101,Steven,Hall,Steven Hall,sexto,ef,11,87986379082,102,3
102,Emma,Rogers,Emma Rogers,segundo_em,em,16,7209879758,103,2
103,Vincent,Harris,Vincent Harris,nono,ef,14,44579557332,104,4
104,Belinda,Baker,Belinda Baker,nono,ef,14,87494740988,105,2
105,Sofia,Miller,Sofia Miller,primeiro_em,em,15,93790244564,106,2
106,Belinda,Perkins,Belinda Perkins,terceiro_em,em,17,83853449214,107,1
107,Alexander,Tucker,Alexander Tucker,oitavo,ef,13,97762117874,108,2
108,Savana,Crawford,Savana Crawford,sexto,ef,11,86217914760,109,3
109,Roman,Henderson,Roman Henderson,setimo,ef,12,61928516124,110,1
110,Kirsten,Moore,Kirsten Moore,primeiro_em,em,15,28490438686,111,1
111,Camila,Casey,Camila Casey,sexto,ef,11,37726185752,112,3
112,Evelyn,Foster,Evelyn Foster,terceiro_em,em,17,64913684040,113,1
113,Andrew,Stevens,Andrew Stevens,segundo_em,em,16,79970684052,114,4
114,Lyndon,Carter,Lyndon Carter,oitavo,ef,13,31636571446,115,2
115,Ryan,West,Ryan West,sexto,ef,11,41142706080,116,1
116,Madaline,Hamilton,Madaline Hamilton,oitavo,ef,13,85841042512,117,1
117,Briony,Richardson,Briony Richardson,setimo,ef,12,17601727872,118,3
118,Freddie,Barnes,Freddie Barnes,nono,ef,14,63187131788,119,1
119,Miley,Carter,Miley Carter,primeiro_em,em,15,8117445818,120,2
120,Anna,Harrison,Anna Harrison,primeiro_em,em,15,85621413382,121,2
121,Rosie,Evans,Rosie Evans,segundo_em,em,16,97831299506,122,2
122,Paige,Tucker,Paige Tucker,terceiro_em,em,17,51190019434,123,4
123,Kevin,Roberts,Kevin Roberts,sexto,ef,11,53383214666,124,2
124,Frederick,Chapman,Frederick Chapman,segundo_em,em,16,4002159874,125,3
125,Patrick,Alexander,Patrick Alexander,oitavo,ef,13,7094480774,126,2
126,Jenna,Richardson,Jenna Richardson,nono,ef,14,66502492524,127,3
127,Vivian,Brown,Vivian Brown,terceiro_em,em,17,5020581806,128,1
128,James,Myers,James Myers,segundo_em,em,16,52290689622,129,2
129,Jessica,Walker,Jessica Walker,segundo_em,em,16,83045159750,130,4
130,Alen,Sullivan,Alen Sullivan,setimo,ef,12,46324986750,131,3
131,Clark,Thomas,Clark Thomas,primeiro_em,em,15,21254929542,132,4
132,Carlos,Alexander,Carlos Alexander,nono,ef,14,71857804248,133,3
133,Victor,Crawford,Victor Crawford,setimo,ef,12,98420308330,134,1
134,Daryl,Lloyd,Daryl Lloyd,setimo,ef,12,60835790032,135,3
135,Walter,Nelson,Walter Nelson,primeiro_em,em,15,35598076514,136,2
136,Tiana,Phillips,Tiana Phillips,nono,ef,14,20615831344,137,3
137,Andrew,Morrison,Andrew Morrison,nono,ef,14,94463501434,138,1
138,Jasmine,Owens,Jasmine Owens,terceiro_em,em,17,86673009458,139,1
139,Emily,Montgomery,Emily Montgomery,nono,ef,14,7849014562,140,3
140,Rubie,Robinson,Rubie Robinson,sexto,ef,11,2735398170,141,4
141,Jordan,Ellis,Jordan Ellis,sexto,ef,11,14804597402,142,4
142,Agata,Chapman,Agata Chapman,setimo,ef,12,83824435248,143,1
143,Gianna,Gray,Gianna Gray,nono,ef,14,93206022462,144,4
144,Ashton,Morrison,Ashton Morrison,setimo,ef,12,26010854790,145,3
145,Daniel,Hill,Daniel Hill,sexto,ef,11,32536231122,146,3
146,Alford,Barnes,Alford Barnes,oitavo,ef,13,55226734246,147,3
147,Evelyn,Hamilton,Evelyn Hamilton,terceiro_em,em,17,10972317666,148,4
148,Lucia,Carroll,Lucia Carroll,oitavo,ef,13,21892391830,149,1
149,Adrianna,Russell,Adrianna Russell,segundo_em,em,16,81527199222,150,3
150,Dale,Payne,Dale Payne,oitavo,ef,13,47959910154,151,2
151,Luke,Clark,Luke Clark,nono,ef,14,38637736806,152,2
152,Brad,Brooks,Brad Brooks,segundo_em,em,16,80271177340,153,2
153,Dexter,Sullivan,Dexter Sullivan,nono,ef,14,63492794758,154,3
154,Dominik,Armstrong,Dominik Armstrong,sexto,ef,11,40818446772,155,4
155,Agata,Owens,Agata Owens,sexto,ef,11,33699736008,156,3
156,Alissa,Johnson,Alissa Johnson,primeiro_em,em,15,50898684542,157,1
157,Lucy,Wright,Lucy Wright,sexto,ef,11,30933291938,158,4
158,Steven,Montgomery,Steven Montgomery,primeiro_em,em,15,30515852010,159,4
159,Mike,Andrews,Mike Andrews,oitavo,ef,13,92961678868,160,4
160,Brad,Perry,Brad Perry,segundo_em,em,16,16115746298,161,2
161,James,Morrison,James Morrison,sexto,ef,11,87604281974,162,2
162,Patrick,Miller,Patrick Miller,sexto,ef,11,60168603752,163,4
163,Maximilian,Payne,Maximilian Payne,nono,ef,14,34451087956,164,2
164,Kate,Richards,Kate Richards,sexto,ef,11,17550872744,165,1
165,Justin,Casey,Justin Casey,terceiro_em,em,17,58117101362,166,3
166,Aida,Mason,Aida Mason,primeiro_em,em,15,68003972834,167,3
167,Brad,Roberts,Brad Roberts,nono,ef,14,30806945936,168,2
168,Charlie,Smith,Charlie Smith,sexto,ef,11,41902482456,169,4
169,Anna,Bennett,Anna Bennett,primeiro_em,em,15,24662296114,170,1
170,Brad,Sullivan,Brad Sullivan,segundo_em,em,16,8010189698,171,2
171,Amelia,Adams,Amelia Adams,segundo_em,em,16,86865428384,172,2
172,Jessica,Craig,Jessica Craig,nono,ef,14,82579009620,173,1
173,Tiana,Stevens,Tiana Stevens,sexto,ef,11,14989149038,174,3
174,Ryan,Lloyd,Ryan Lloyd,oitavo,ef,13,43726600664,175,4
175,Florrie,Dixon,Florrie Dixon,oitavo,ef,13,16281966264,176,1
176,Briony,Miller,Briony Miller,nono,ef,14,72008346782,177,2
177,Jacob,Hunt,Jacob Hunt,sexto,ef,11,19601456284,178,1
178,Clark,Ellis,Clark Ellis,terceiro_em,em,17,89323644522,179,3
179,Amanda,Harris,Amanda Harris,primeiro_em,em,15,62662404762,180,1
180,Antony,Alexander,Antony Alexander,oitavo,ef,13,17310880582,181,3
181,Edward,Craig,Edward Craig,nono,ef,14,70482654084,182,2
182,Alissa,Stewart,Alissa Stewart,oitavo,ef,13,46140404768,183,2
183,James,Armstrong,James Armstrong,sexto,ef,11,74630440712,184,4
184,Eddy,Harrison,Eddy Harrison,segundo_em,em,16,47719171840,185,4
185,Ryan,Watson,Ryan Watson,segundo_em,em,16,61395580932,186,1
186,Lyndon,Crawford,Lyndon Crawford,setimo,ef,12,24865596444,187,3
187,Stuart,Wright,Stuart Wright,nono,ef,14,91450642236,188,2
